"","GEOID","NAME"
"1","24001","Allegany County, Maryland"
"2","24003","Anne Arundel County, Maryland"
"3","24005","Baltimore County, Maryland"
"4","24009","Calvert County, Maryland"
"5","24011","Caroline County, Maryland"
"6","24013","Carroll County, Maryland"
"7","24015","Cecil County, Maryland"
"8","24017","Charles County, Maryland"
"9","24019","Dorchester County, Maryland"
"10","24021","Frederick County, Maryland"
"11","24023","Garrett County, Maryland"
"12","24025","Harford County, Maryland"
"13","24027","Howard County, Maryland"
"14","24029","Kent County, Maryland"
"15","24031","Montgomery County, Maryland"
"16","24033","Prince George's County, Maryland"
"17","24035","Queen Anne's County, Maryland"
"18","24037","St. Mary's County, Maryland"
"19","24039","Somerset County, Maryland"
"20","24041","Talbot County, Maryland"
"21","24043","Washington County, Maryland"
"22","24045","Wicomico County, Maryland"
"23","24047","Worcester County, Maryland"
"24","24510","Baltimore city, Maryland"
