time,year,rural_avg,rural_per_hour
0,2016,170572,1045
1,2016,170572,680
2,2016,170572,669
3,2016,170572,1272
4,2016,170572,3939
5,2016,170572,8316
6,2016,170572,11083
7,2016,170572,12650
8,2016,170572,10910
9,2016,170572,9035
10,2016,170572,8336
11,2016,170572,8403
12,2016,170572,8794
13,2016,170572,9469
14,2016,170572,11322
15,2016,170572,13517
16,2016,170572,14934
17,2016,170572,14376
18,2016,170572,10677
19,2016,170572,7581
20,2016,170572,5705
21,2016,170572,4356
22,2016,170572,3065
23,2016,170572,2017
0,2015,161133,987
1,2015,161133,628
2,2015,161133,622
3,2015,161133,1162
4,2015,161133,3553
5,2015,161133,7821
6,2015,161133,10554
7,2015,161133,12058
8,2015,161133,10299
9,2015,161133,8435
10,2015,161133,7772
11,2015,161133,7818
12,2015,161133,8159
13,2015,161133,8770
14,2015,161133,10612
15,2015,161133,12733
16,2015,161133,14052
17,2015,161133,13588
18,2015,161133,10164
19,2015,161133,7203
20,2015,161133,5374
21,2015,161133,4104
22,2015,161133,2906
23,2015,161133,1922
0,2014,209949,1279
1,2014,209949,852
2,2014,209949,823
3,2014,209949,1368
4,2014,209949,4064
5,2014,209949,9486
6,2014,209949,13463
7,2014,209949,16011
8,2014,209949,13618
9,2014,209949,11181
10,2014,209949,10417
11,2014,209949,10491
12,2014,209949,10936
13,2014,209949,11508
14,2014,209949,13711
15,2014,209949,16459
16,2014,209949,18193
17,2014,209949,17779
18,2014,209949,13229
19,2014,209949,9213
20,2014,209949,6921
21,2014,209949,5384
22,2014,209949,3809
23,2014,209949,2516
0,2013,181335,1129
1,2013,181335,718
2,2013,181335,692
3,2013,181335,1141
4,2013,181335,3555
5,2013,181335,8413
6,2013,181335,12004
7,2013,181335,14472
8,2013,181335,12070
9,2013,181335,9585
10,2013,181335,8816
11,2013,181335,8957
12,2013,181335,9388
13,2013,181335,9884
14,2013,181335,11875
15,2013,181335,14502
16,2013,181335,16041
17,2013,181335,15558
18,2013,181335,11413
19,2013,181335,7920
20,2013,181335,6079
21,2013,181335,4803
22,2013,181335,3364
23,2013,181335,2236
0,2012,202182,1343
1,2012,202182,887
2,2012,202182,859
3,2012,202182,1325
4,2012,202182,3751
5,2012,202182,8713
6,2012,202182,12694
7,2012,202182,15546
8,2012,202182,13110
9,2012,202182,10588
10,2012,202182,9939
11,2012,202182,10228
12,2012,202182,10658
13,2012,202182,11180
14,2012,202182,13268
15,2012,202182,15919
16,2012,202182,17601
17,2012,202182,17046
18,2012,202182,12649
19,2012,202182,8839
20,2012,202182,6832
21,2012,202182,5418
22,2012,202182,3832
23,2012,202182,2604
0,2011,144512,957
1,2011,144512,639
2,2011,144512,602
3,2011,144512,847
4,2011,144512,2368
5,2011,144512,6499
6,2011,144512,10081
7,2011,144512,11697
8,2011,144512,9804
9,2011,144512,7613
10,2011,144512,6937
11,2011,144512,6971
12,2011,144512,7278
13,2011,144512,7742
14,2011,144512,9452
15,2011,144512,11500
16,2011,144512,12927
17,2011,144512,12631
18,2011,144512,9462
19,2011,144512,6488
20,2011,144512,4852
21,2011,144512,3907
22,2011,144512,2772
23,2011,144512,1835
0,2010,201845,1437
1,2010,201845,953
2,2010,201845,865
3,2010,201845,1166
4,2010,201845,3208
5,2010,201845,7803
6,2010,201845,12476
7,2010,201845,15015
8,2010,201845,12951
9,2010,201845,10455
10,2010,201845,9880
11,2010,201845,10144
12,2010,201845,10620
13,2010,201845,11120
14,2010,201845,12970
15,2010,201845,15665
16,2010,201845,17363
17,2010,201845,17009
18,2010,201845,12847
19,2010,201845,9046
20,2010,201845,7002
21,2010,201845,5689
22,2010,201845,4017
23,2010,201845,2680
0,2009,199553,1390
1,2009,199553,918
2,2009,199553,829
3,2009,199553,1107
4,2009,199553,3107
5,2009,199553,7788
6,2009,199553,12364
7,2009,199553,14939
8,2009,199553,12804
9,2009,199553,10311
10,2009,199553,9755
11,2009,199553,10071
12,2009,199553,10486
13,2009,199553,11033
14,2009,199553,12973
15,2009,199553,15641
16,2009,199553,17263
17,2009,199553,16822
18,2009,199553,12653
19,2009,199553,8813
20,2009,199553,6837
21,2009,199553,5564
22,2009,199553,3938
23,2009,199553,2650
0,2008,207196,1448
1,2008,207196,957
2,2008,207196,874
3,2008,207196,1180
4,2008,207196,3255
5,2008,207196,8386
6,2008,207196,13169
7,2008,207196,15820
8,2008,207196,13499
9,2008,207196,10828
10,2008,207196,10139
11,2008,207196,10401
12,2008,207196,10879
13,2008,207196,11386
14,2008,207196,13410
15,2008,207196,16051
16,2008,207196,17713
17,2008,207196,17192
18,2008,207196,12917
19,2008,207196,9069
20,2008,207196,7094
21,2008,207196,5772
22,2008,207196,4100
23,2008,207196,2740
0,2007,,1232
1,2007,,821
2,2007,,743
3,2007,,988
4,2007,,2687
5,2007,,6446
6,2007,,9624
7,2007,,11297
8,2007,,9568
9,2007,,7891
10,2007,,7552
11,2007,,7589
12,2007,,8069
13,2007,,8553
14,2007,,9897
15,2007,,12085
16,2007,,13174
17,2007,,12783
18,2007,,9865
19,2007,,7076
20,2007,,5436
21,2007,,4437
22,2007,,3141
23,2007,,2132
