time,year,urban_avg,urban_per_hour
0,2016,511817,4587
1,2016,511817,2746
2,2016,511817,2281
3,2016,511817,2946
4,2016,511817,7343
5,2016,511817,19695
6,2016,511817,29967
7,2016,511817,35356
8,2016,511817,34491
9,2016,511817,29280
10,2016,511817,26310
11,2016,511817,27101
12,2016,511817,28654
13,2016,511817,29707
14,2016,511817,34321
15,2016,511817,37820
16,2016,511817,39155
17,2016,511817,39179
18,2016,511817,33658
19,2016,511817,25346
20,2016,511817,19868
21,2016,511817,16110
22,2016,511817,12119
23,2016,511817,8493
0,2015,416308,3644
1,2015,416308,2134
2,2015,416308,1762
3,2015,416308,2201
4,2015,416308,5311
5,2015,416308,15031
6,2015,416308,23135
7,2015,416308,28511
8,2015,416308,28611
9,2015,416308,24214
10,2015,416308,21721
11,2015,416308,22657
12,2015,416308,24297
13,2015,416308,24804
14,2015,416308,28197
15,2015,416308,30605
16,2015,416308,31936
17,2015,416308,32254
18,2015,416308,27619
19,2015,416308,20631
20,2015,416308,15950
21,2015,416308,13001
22,2015,416308,9893
23,2015,416308,6954
0,2014,780510,6028
1,2014,780510,3478
2,2014,780510,2910
3,2014,780510,3617
4,2014,780510,9214
5,2014,780510,26971
6,2014,780510,44971
7,2014,780510,57352
8,2014,780510,55287
9,2014,780510,44316
10,2014,780510,39120
11,2014,780510,40569
12,2014,780510,43451
13,2014,780510,44695
14,2014,780510,52015
15,2014,780510,59435
16,2014,780510,63706
17,2014,780510,63933
18,2014,780510,53313
19,2014,780510,39172
20,2014,780510,29874
21,2014,780510,24078
22,2014,780510,17411
23,2014,780510,11818
0,2013,779578,6071
1,2013,779578,3488
2,2013,779578,2903
3,2013,779578,3674
4,2013,779578,9001
5,2013,779578,26529
6,2013,779578,44916
7,2013,779578,57770
8,2013,779578,55486
9,2013,779578,44377
10,2013,779578,39033
11,2013,779578,40592
12,2013,779578,43614
13,2013,779578,44939
14,2013,779578,52105
15,2013,779578,60357
16,2013,779578,64595
17,2013,779578,65015
18,2013,779578,53592
19,2013,779578,38871
20,2013,779578,29685
21,2013,779578,24052
22,2013,779578,17423
23,2013,779578,11826
0,2012,867163,6456
1,2012,867163,3743
2,2012,867163,3083
3,2012,867163,3776
4,2012,867163,9514
5,2012,867163,28408
6,2012,867163,50001
7,2012,867163,64875
8,2012,867163,61927
9,2012,867163,49132
10,2012,867163,43396
11,2012,867163,45232
12,2012,867163,48694
13,2012,867163,49921
14,2012,867163,57932
15,2012,867163,67204
16,2012,867163,72806
17,2012,867163,73289
18,2012,867163,60100
19,2012,867163,43218
20,2012,867163,33172
21,2012,867163,26851
22,2012,867163,19112
23,2012,867163,12810
0,2011,861568,6482
1,2011,861568,3779
2,2011,861568,3146
3,2011,861568,3755
4,2011,861568,9502
5,2011,861568,28078
6,2011,861568,49680
7,2011,861568,64351
8,2011,861568,61222
9,2011,861568,48849
10,2011,861568,43332
11,2011,861568,45097
12,2011,861568,48515
13,2011,861568,49610
14,2011,861568,57636
15,2011,861568,66504
16,2011,861568,72232
17,2011,861568,72940
18,2011,861568,59543
19,2011,861568,42929
20,2011,861568,32822
21,2011,861568,26742
22,2011,861568,19212
23,2011,861568,12847
0,2010,668064,4924
1,2010,668064,2910
2,2010,668064,2429
3,2010,668064,2801
4,2010,668064,6867
5,2010,668064,19838
6,2010,668064,36162
7,2010,668064,48245
8,2010,668064,45793
9,2010,668064,37005
10,2010,668064,34001
11,2010,668064,35731
12,2010,668064,38408
13,2010,668064,39167
14,2010,668064,44903
15,2010,668064,52232
16,2010,668064,56409
17,2010,668064,56518
18,2010,668064,46435
19,2010,668064,33874
20,2010,668064,26147
21,2010,668064,21097
22,2010,668064,14851
23,2010,668064,9796
0,2009,729718,5336
1,2009,729718,3130
2,2009,729718,2580
3,2009,729718,2943
4,2009,729718,7131
5,2009,729718,21703
6,2009,729718,40982
7,2009,729718,55495
8,2009,729718,53015
9,2009,729718,41249
10,2009,729718,36673
11,2009,729718,38345
12,2009,729718,41249
13,2009,729718,42082
14,2009,729718,48506
15,2009,729718,57134
16,2009,729718,62833
17,2009,729718,63783
18,2009,729718,51755
19,2009,729718,36911
20,2009,729718,27992
21,2009,729718,22865
22,2009,729718,16448
23,2009,729718,10716
0,2008,752808,5451
1,2008,752808,3220
2,2008,752808,2674
3,2008,752808,3058
4,2008,752808,7274
5,2008,752808,22456
6,2008,752808,42377
7,2008,752808,57631
8,2008,752808,55145
9,2008,752808,42777
10,2008,752808,37931
11,2008,752808,39581
12,2008,752808,42635
13,2008,752808,43428
14,2008,752808,49965
15,2008,752808,58163
16,2008,752808,64391
17,2008,752808,65875
18,2008,752808,53443
19,2008,752808,38249
20,2008,752808,29061
21,2008,752808,23792
22,2008,752808,16986
23,2008,752808,11065
0,2007,,5061
1,2007,,3040
2,2007,,2599
3,2007,,2764
4,2007,,6654
5,2007,,19734
6,2007,,36179
7,2007,,48686
8,2007,,46368
9,2007,,37292
10,2007,,33956
11,2007,,35612
12,2007,,38418
13,2007,,39258
14,2007,,44613
15,2007,,51482
16,2007,,55813
17,2007,,56654
18,2007,,47277
19,2007,,34815
20,2007,,27053
21,2007,,22162
22,2007,,15638
23,2007,,10071
